"GEOID","B01001_001","B25001_001","B26001_001","ratioReturnsIndividuals_lt25k","avgTaxLiabilityperReturn_lt25k","ratioReturnsIndividuals_gte200k","avgTaxLiabilityperReturn_gte200k","RPPAll","TotalTax","pctlivingbelow150pctfederalpoverty","pctwhitecollarjob","incomepercapita","ratioofthosemakingunder10ktothosemakingover50k","ownprcinc","medianmortgage","rentprcinc","gini_index","pctPopulationWithNoInsurance","pctRetirementInc","pctSSI","pctSocialSec","perHomesNoMortgage","economic_score","economic_rnk","income_score","affordability_score","wealth_score","equity_score","economic_state_rnk","NAME"
"01001",55639,23697,578,0.720064724919094,0.826332288401254,0.353846153846154,58.5884057971015,0.995721722207167,2.53686820815722,22.8538808647904,39.0439381611066,29.804,0.11078741468287,1650,0.882,2730,0.4552,7.96473154546954,23.5957140869243,6.8834361519551,34.8763857321768,0.403779214321233,95.45,38.8099173553719,98,100.97,84.59,94.3,13.6363636363636,"Autauga County, Alabama"
"01003",218289,116747,2954,0.742749529190207,0.93562540929928,0.360906862745098,91.1760611205433,3.90652418301695,2.53686820815722,16.9228981735372,36.7902559533452,33.751,0.0886264127889217,1580,0.929,2820,0.4566,9.50577041670337,27.9046247932704,4.62122383904244,39.6028412673861,0.415013288831201,90.7,29.4214876033058,111.43,104.16,96.23,100.54,3.03030303030303,"Baldwin County, Alabama"
"01005",25026,12057,2910,0.665454545454545,0.886928104575163,0.41304347826087,66.2315789473684,0.447868074910702,2.53686820815722,40.6207521522429,27.4262087975192,20.074,0.390111460417262,1520,0.514,2930,0.5047,10.6800506420691,20.9289851963098,9.47221626260459,45.8699849817636,0.551861471861472,131.78,95.4710743801653,68.23,89.6,119.89,138.05,84.8484848484848,"Barbour County, Alabama"
"01007",22374,9237,1657,0.686440677966102,0.866666666666667,0.366666666666667,112.181818181818,0.400407588430115,2.53686820815722,27.6171197223829,22.461760809346,22.626,0.215480043149946,1380,0.477,3230,0.45,9.05147484094853,23.5982917757267,7.09464113514258,42.099462735914,0.618459837877671,119.15,83.504132231405,85.9,86.68,118,109.82,57.5757575757576,"Bibb County, Alabama"
"01009",57755,24404,564,0.669139465875371,0.95929203539823,0.373913043478261,80.7697674418605,1.03358989316981,2.53686820815722,23.8486179914926,29.4228411280434,25.457,0.207889125799574,1420,0.602,2840,0.4685,10.0324754687991,21.9004951662344,8.56401792030181,37.4251355812308,0.498140342177039,112.87,73.3553719008264,87.15,88.07,101.57,114.61,31.8181818181818,"Blount County, Alabama"
"01011",10173,4591,433,0.641791044776119,0.851428571428571,0.363636363636364,60.225,0.182057137619539,2.53686820815722,42.4997426129929,17.2697778886948,20.783,0.440140845070423,1430,0.592,3540,0.4985,10.4687978756,20.793234179061,11.7526975794692,48.4397783610382,0.594626629790597,139.02,98.4462809917355,61.57,93.41,124.91,139.19,93.9393939393939,"Bullock County, Alabama"
"01013",19726,10119,320,0.636505460218409,0.88034188034188,0.40625,69.4538461538462,0.353018686393691,2.53686820815722,31.5954870949462,27.5373227951324,23.415,0.176648721399731,1340,0.517,2900,0.4667,10.1439588688946,25.1767183035043,9.32471048277936,45.3602045420364,0.652093596059113,125.17,90.3471074380165,76.11,83.16,126.31,108.54,74.2424242424242,"Butler County, Alabama"
"01015",114324,53722,2979,0.68830313014827,0.819215155615697,0.378995433789954,88.7746987951807,2.04595499864505,2.53686820815722,27.2617752564529,30.3997495042271,26.238,0.158622232162827,1530,0.674,2600,0.4581,9.98820221230696,27.2704837117473,7.19958718477968,39.8680786143767,0.46114121772394,108.44,66.2148760330578,89.08,92.51,106.4,104.81,28.7878787878788,"Calhoun County, Alabama"
"01017",33427,16985,558,0.658536585365854,0.829245283018868,0.386363636363636,97.5235294117647,0.598213303765686,2.53686820815722,28.2190114068441,24.3276283618582,24.088,0.133344187561055,1560,0.557,2230,0.4182,9.22140456073408,19.6436460020616,9.09291709615668,42.1292887645413,0.532026716303515,114.67,76.2644628099174,81.07,85.77,112.43,92.21,36.3636363636364,"Chambers County, Alabama"
"01019",26035,16631,274,0.652737752161383,0.909677419354839,0.391304347826087,70.4944444444444,0.465925250951016,2.53686820815722,25.9423676012461,31.7652764306499,26.231,0.144285714285714,1520,0.497,2570,0.4596,9.53896305495188,25.6459948320413,8.63787375415282,46.0409745293466,0.619086941134835,116.52,79.0743801652893,85.02,86,119.89,103.77,48.4848484848485,"Cherokee County, Alabama"
