"GEOID","B01001_001","B25001_001","B26001_001","ratioReturnsIndividuals_lt25k","avgTaxLiabilityperReturn_lt25k","ratioReturnsIndividuals_gte200k","avgTaxLiabilityperReturn_gte200k","RPPAll","TotalTax","pctlivingbelow150pctfederalpoverty","pctwhitecollarjob","incomepercapita","ratioofthosemakingunder10ktothosemakingover50k","ownprcinc","medianmortgage","rentprcinc","gini_index","pctPopulationWithNoInsurance","pctRetirementInc","pctSSI","pctSocialSec","perHomesNoMortgage","economic_score","economic_rnk","income_score","affordability_score","wealth_score","equity_score","economic_state_rnk","NAME"
"01001",58239,24170,547,0.70383275261324,0.807988165680473,0.357976653696498,67.9260869565217,88.062,2.85159179018244,21.7286727807579,38.0735186115728,30.968,0.0948248905565979,1600,0.861,2540,0.4499,7.89395136511281,25.6405563689605,6.06240849194729,33.7756222547584,0.413939730079497,103.69,59.7196261682243,100.52,90.71,83.64,89.64,87.8787878787879,"Autauga County, Alabama"
"01003",227131,121763,2926,0.734261375441513,0.931148604802077,0.373242850218129,104.035454545455,88.062,2.85159179018244,17.3882344529253,36.0774957601541,35.384,0.0798684828558009,1540,0.974,2890,0.4572,9.72902616130053,28.5067094850327,4.59571051726115,38.9138662690676,0.418889979477113,106.33,65.5763239875389,110.88,93.29,94.56,109.75,92.4242424242424,"Baldwin County, Alabama"
"01005",25259,11667,2964,0.6193724420191,0.877142857142857,0.407407407407407,87.5333333333333,88.062,2.85159179018244,38.9303370786517,25.6161663357084,21.325,0.326721120186698,1530,0.543,2590,0.5046,10.3745234357479,21.4678697183099,10.5963908450704,46.1927816901408,0.570569508312699,73.81,8.00623052959502,70.07,83.15,118.22,118.39,15.1515151515152,"Barbour County, Alabama"
"01007",22412,9013,1440,0.642553191489362,0.823770491803279,0.371428571428571,263.284615384615,88.062,2.85159179018244,28.2666666666667,21.9506262921075,24.787,0.142779881016766,1280,0.476,2910,0.4532,9.97619047619048,27.5730622617535,6.77678949597628,47.2398701115347,0.641397849462366,82.82,18.6604361370717,86.66,76.53,123.25,135.5,48.4848484848485,"Bibb County, Alabama"
"01009",58884,24527,532,0.662305805396566,0.93125,0.376712328767123,78.8690909090909,88.062,2.85159179018244,22.2690876669581,28.24616399934,27.309,0.155427774873671,1410,0.639,2740,0.4562,10.0176258192583,25.1173708920188,8.74178403755868,38.6760563380282,0.489653127779425,89.32,29.7196261682243,90.49,82.28,102.23,105.61,69.6969696969697,"Blount County, Alabama"
"01011",10386,4522,404,0.609970674486804,0.888607594936709,0.416666666666667,70.26,88.062,2.85159179018244,46.0234154218813,19.8795180722892,21.012,0.456942003514938,1450,0.539,3550,0.5159,10.1316314319904,18.660427025446,13.6882129277567,44.2527054694355,0.637387387387387,64.99,3.08411214953271,60.16,87.07,123.74,119.82,6.06060606060606,"Bullock County, Alabama"
"01013",19181,9842,297,0.603678929765886,0.767441860465116,0.405405405405405,82.0066666666667,88.062,2.85159179018244,30.7896131425543,26.6287828730012,23.897,0.139124533423821,1380,0.529,2880,0.4712,11.3941443822006,25.9072117593018,11.4990047465932,44.6026642168121,0.635575296108291,75.31,9.50155763239875,74.67,80.31,121.38,100.04,22.7272727272727,"Butler County, Alabama"
"01015",116425,53112,3008,0.659469026548673,0.768346253229974,0.397003745318352,102.849056603774,88.062,2.85159179018244,28.011192119618,30.148961750861,26.44,0.16194996451384,1520,0.671,2750,0.4567,11.160966617101,28.2131166045829,7.25589795688001,39.6252398690597,0.468782799529277,89.86,30.9034267912773,88.46,86.24,105.84,100.83,71.2121212121212,"Calhoun County, Alabama"
"01017",34834,16433,537,0.621149897330595,0.758064516129032,0.403846153846154,95.5809523809524,88.062,2.85159179018244,27.4614264919942,26.3406124822328,24.84,0.0947583818668346,1550,0.581,2260,0.4146,10.4809700626595,23.8817343595214,8.82420178312886,42.8712946734741,0.527560787765431,84.98,22.1495327102804,82.68,82.24,113.24,86.35,59.0909090909091,"Chambers County, Alabama"
"01019",24975,14734,259,0.639810426540284,0.931410256410256,0.403508771929825,73.0608695652174,88.062,2.85159179018244,27.4139122657235,32.0808658362263,26.867,0.150270758122744,1510,0.499,2680,0.4702,9.78845609351616,26.7127527858027,8.25423029302518,47.1522905489063,0.626528197712633,82.42,18.006230529595,86.4,82.34,119.46,107.55,45.4545454545455,"Cherokee County, Alabama"
