"GEOID","B01001_001","B25001_001","B26001_001","ratioReturnsIndividuals_lt25k","avgTaxLiabilityperReturn_lt25k","avgTaxPaidperReturn_lt25k","ratioReturnsIndividuals_gte200k","avgTaxLiabilityperReturn_gte200k","RPPAll","TotalTax","pctlivingbelow150pctfederalpoverty","pctwhitecollarjob","incomepercapita","ratioofthosemakingunder10ktothosemakingover50k","ownprcinc","medianmortgage","rentprcinc","gini_index","pctPopulationWithNoInsurance","pctRetirementInc","pctSSI","pctSocialSec","perHomesNoMortgage","economic_score","economic_rnk","income_score","affordability_score","wealth_score","equity_score","economic_state_rnk","NAME"
"01001",58239,24170,547,0.70383275261324,0.807988165680473,1.67142857142857,0.357976653696498,67.9260869565217,1.02620574927341,166073.854268435,21.7286727807579,38.0735186115728,30.968,0.0948248905565979,1600,0.861,2540,0.4499,7.89395136511281,25.6405563689605,6.06240849194729,33.7756222547584,0.413939730079497,98.59,49.5452369554811,96.33,87.93,89.21,91.83,82.6923076923077,"Autauga County, Alabama"
"01003",227131,121763,2926,0.734261375441513,0.931148604802077,2.28958333333333,0.373242850218129,104.035454545455,4.00218303951337,647684.894895927,17.3882344529253,36.0774957601541,35.384,0.0798684828558009,1540,0.974,2890,0.4572,9.72902616130053,28.5067094850327,4.59571051726115,38.9138662690676,0.418889979477113,103.76,61.4169459071326,107.93,97,100.52,107.17,92.3076923076923,"Baldwin County, Alabama"
"01005",25259,11667,2964,0.6193724420191,0.877142857142857,2.83333333333333,0.407407407407407,87.5333333333333,0.445078573136508,72028.3570282181,38.9303370786517,25.6161663357084,21.325,0.326721120186698,1530,0.543,2590,0.5046,10.3745234357479,21.4678697183099,10.5963908450704,46.1927816901408,0.570569508312699,64.39,2.53709909047391,60.95,86.43,122.81,136.04,7.69230769230769,"Barbour County, Alabama"
"01007",22412,9013,1440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bibb County, Alabama"
"01009",58884,24527,532,0.662305805396566,0.93125,1.525,0.376712328767123,78.8690909090909,1.03757103212994,167913.130973102,22.2690876669581,28.24616399934,27.309,0.155427774873671,1410,0.639,2740,0.4562,10.0176258192583,25.1173708920188,8.74178403755868,38.6760563380282,0.489653127779425,82.84,18.7170895165151,85.11,80.29,107.47,110.57,61.5384615384615,"Blount County, Alabama"
"01011",10386,4522,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bullock County, Alabama"
"01013",19181,9842,297,0.603678929765886,0.767441860465116,1,0.405405405405405,82.0066666666667,0.337980605381502,54696.3821274893,30.7896131425543,26.6287828730012,23.897,0.139124533423821,1380,0.529,2880,0.4712,11.3941443822006,25.9072117593018,11.4990047465932,44.6026642168121,0.635575296108291,66.88,3.44662517951173,66.56,75.69,127.18,105.56,15.3846153846154,"Butler County, Alabama"
"01015",116425,53112,3008,0.659469026548673,0.768346253229974,1.83125,0.397003745318352,102.849056603774,2.0514776070873,331996.57417199,28.011192119618,30.148961750861,26.44,0.16194996451384,1520,0.671,2750,0.4567,11.160966617101,28.2131166045829,7.25589795688001,39.6252398690597,0.468782799529277,83.15,19.147917663954,82.92,86.46,111.75,106.43,63.4615384615385,"Calhoun County, Alabama"
"01017",34834,16433,537,0.621149897330595,0.758064516129032,1.08333333333333,0.403846153846154,95.5809523809524,0.613795756626832,99332.3484192149,27.4614264919942,26.3406124822328,24.84,0.0947583818668346,1550,0.581,2260,0.4146,10.4809700626595,23.8817343595214,8.82420178312886,42.8712946734741,0.527560787765431,78.22,12.4461464815701,76.67,76.9,118.27,87.49,48.0769230769231,"Chambers County, Alabama"
"01019",24975,14734,259,0.639810426540284,0.931410256410256,2,0.403508771929825,73.0608695652174,0.440074324560921,71218.5049598063,27.4139122657235,32.0808658362263,26.867,0.150270758122744,1510,0.499,2680,0.4702,9.78845609351616,26.7127527858027,8.25423029302518,47.1522905489063,0.626528197712633,76.55,10.8664432742939,80.47,82.03,125.52,112.51,40.3846153846154,"Cherokee County, Alabama"
